mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.057997512817382815,0.0133630748971595,0.014160442352294921,0.002994954000480709,0.01,{'clf__alpha': 0.01},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.051062393188476565,0.005182315067054875,0.014892911911010743,0.002349309127661828,0.1,{'clf__alpha': 0.1},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.052965736389160155,0.01147979046416474,0.01450204849243164,0.0035854301981252286,0.5,{'clf__alpha': 0.5},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.05263967514038086,0.010494286317288734,0.013386011123657227,0.0027526368847370997,1.0,{'clf__alpha': 1.0},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
